scenario,energy_adder_per_kwh,effective_demand_rate_per_kw,baseline_total_bill_usd,MILP_total_bill_usd,MILP_savings_usd,MILP_savings_pct,MILP_annualized_savings_usd,NMPC_total_bill_usd,NMPC_savings_usd,NMPC_savings_pct,NMPC_annualized_savings_usd
Wholesale only (simulated),0.0,15.0,572.27,412.4,159.86,27.9,8341.66,286.18,286.09,50.0,14928.01
+ Basic retail markup,0.06,15.0,933.69,808.46,125.24,13.4,6534.9,511.74,421.95,45.2,22017.26
+ Full retail all-in,0.1,15.0,1174.64,1072.49,102.15,8.7,5330.4,662.12,512.52,43.6,26743.43
+ Peak summer exposure,0.13,15.0,1355.36,1270.52,84.84,6.3,4427.02,774.9,580.45,42.8,30288.05
