scenario,energy_adder_per_kwh,effective_demand_rate_per_kw,baseline_total_bill_usd,MILP_total_bill_usd,MILP_savings_usd,MILP_savings_pct,MILP_annualized_savings_usd,NMPC_total_bill_usd,NMPC_savings_usd,NMPC_savings_pct,NMPC_annualized_savings_usd
Wholesale only (simulated),0.0,15.0,549.16,385.6,163.56,29.8,8534.45,270.72,278.44,50.7,14528.97
+ Basic retail markup,0.06,15.0,910.58,781.83,128.75,14.1,6718.08,496.19,414.39,45.5,21622.86
+ Full retail all-in,0.1,15.0,1151.53,1045.99,105.54,9.2,5507.17,646.51,505.02,43.9,26352.11
+ Peak summer exposure,0.13,15.0,1332.25,1244.11,88.14,6.6,4598.98,759.25,573.0,43.0,29899.06
